CATEGORY,TYPE,NAME,REVISION,DESCRIPTION,NOTES,DESIGNATOR [str],VALUE [str],SYMBOL [str],FOOTPRINT [str],PACKAGE [str],HEIGHT [mm],VZENER [V],minVBR@IT [V],IT [A],VZTOL [%],VZDRIFT [mV/K],VFMAX [V],IFMAX [A],RTHJA [K/W],RTHJC [K/W],TJMIN [°C],TJMAX [°C],PMAX [W],SOLDER_TECHNOLOGY [str],IEC61709 [int],OTHERPROPERTIES [str],CREATED [str],VERIFIED [str],KICAD_VISIBILITY [str],MANUFACTURER,MPN,DATASHEET_LINK,DATASHEET_REVISION,SUBSTANCES,SUPPLIER1_NAME,SUPPLIER1_SKU,SUPPLIER1_STATUS,RELATEDPARTS
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_16V_EatonElectronicsDivision_SMF16A,0,TVS 16 V SOD-123FL 1 A,,D,SMF16A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,16 V,17.8 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF16A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF16ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 16 V SOD-123FL 1 A,,D,SMF16A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,16 V,17.8 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_17V_generic,0,generic TVS 17 V SOD-123FL 1 A,,D,SMF17A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,17 V,18.9 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_17V_LittelfuseInc_SMF17A,0,TVS 17 V SOD-123FL 1 A,,D,SMF17A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,17 V,18.9 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF17A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5819CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_17V_EatonElectronicsDivision_SMF17A,0,TVS 17 V SOD-123FL 1 A,,D,SMF17A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,17 V,18.9 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF17A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF17ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 17 V SOD-123FL 1 A,,D,SMF17A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,17 V,18.9 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_18V_generic,0,generic TVS 18 V SOD-123FL 1 A,,D,SMF18A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,18 V,20 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_18V_LittelfuseInc_SMF18A,0,TVS 18 V SOD-123FL 1 A,,D,SMF18A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,18 V,20 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF18A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5820CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_18V_EatonElectronicsDivision_SMF18A,0,TVS 18 V SOD-123FL 1 A,,D,SMF18A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,18 V,20 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF18A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF18ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 18 V SOD-123FL 1 A,,D,SMF18A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,18 V,20 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_20V_generic,0,generic TVS 20 V SOD-123FL 1 A,,D,SMF20A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,20 V,22.2 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_20V_LittelfuseInc_SMF20A,0,TVS 20 V SOD-123FL 1 A,,D,SMF20A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,20 V,22.2 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF20A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5821CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_20V_EatonElectronicsDivision_SMF20A,0,TVS 20 V SOD-123FL 22.2 V 1 A,,D,SMF20A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,20 V,22.2 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF20A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF20ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 20 V SOD-123FL 22.2 V 1 A,,D,SMF20A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,20 V,22.2 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_22V_generic,0,generic TVS 22 V SOD-123FL 24.4 V 1 A,,D,SMF22A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,22 V,24.4 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_22V_LittelfuseInc_SMF22A,0,TVS 22 V SOD-123FL 24.4 V 1 A,,D,SMF22A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,22 V,24.4 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF22A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5822CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_22V_EatonElectronicsDivision_SMF22A,0,TVS 22 V SOD-123FL 24.4 V 1 A,,D,SMF22A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,22 V,24.4 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF22A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF22ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 22 V SOD-123FL 24.4 V 1 A,,D,SMF22A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,22 V,24.4 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_24V_generic,0,generic TVS 24 V SOD-123FL 26.7 V 1 A,,D,SMF24A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,24 V,26.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_24V_LittelfuseInc_SMF24A,0,TVS 24 V SOD-123FL 26.7 V 1 A,,D,SMF24A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,24 V,26.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF24A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5823CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_24V_EatonElectronicsDivision_SMF24A,0,TVS 24 V SOD-123FL 26.7 V 1 A,,D,SMF24A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,24 V,26.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF24A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF24ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 24 V SOD-123FL 26.7 V 1 A,,D,SMF24A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,24 V,26.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_26V_generic,0,generic TVS 26 V SOD-123FL 28.9 V 1 A,,D,SMF26A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,26 V,28.9 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_26V_LittelfuseInc_SMF26A,0,TVS 26 V SOD-123FL 28.9 V 1 A,,D,SMF26A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,26 V,28.9 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF26A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5824CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_26V_EatonElectronicsDivision_SMF26A,0,TVS 26 V SOD-123FL 28.9 V 1 A,,D,SMF26A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,26 V,28.9 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF26A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF26ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 26 V SOD-123FL 28.9 V 1 A,,D,SMF26A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,26 V,28.9 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_28V_generic,0,generic TVS 28 V SOD-123FL 31.1 V 1 A,,D,SMF28A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,28 V,31.1 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_28V_LittelfuseInc_SMF28A,0,TVS 28 V SOD-123FL 31.1 V 1 A,,D,SMF28A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,28 V,31.1 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF28A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5825CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_28V_EatonElectronicsDivision_SMF28A,0,TVS 28 V SOD-123FL 31.1 V 1 A,,D,SMF28A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,28 V,31.1 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF28A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF28ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 28 V SOD-123FL 31.1 V 1 A,,D,SMF28A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,28 V,31.1 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_30V_generic,0,generic TVS 30 V SOD-123FL 33.3 V 1 A,,D,SMF30A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,30 V,33.3 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_30V_LittelfuseInc_SMF30A,0,TVS 30 V SOD-123FL 33.3 V 1 A,,D,SMF30A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,30 V,33.3 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF30A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5826CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_30V_EatonElectronicsDivision_SMF30A,0,TVS 30 V SOD-123FL 33.3 V 1 A,,D,SMF30A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,30 V,33.3 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF30A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF30ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 30 V SOD-123FL 33.3 V 1 A,,D,SMF30A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,30 V,33.3 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_33V_generic,0,generic TVS 33 V SOD-123FL 36.7 V 1 A,,D,SMF33A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,33 V,36.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_33V_LittelfuseInc_SMF33A,0,TVS 33 V SOD-123FL 36.7 V 1 A,,D,SMF33A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,33 V,36.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF33A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5827CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_33V_EatonElectronicsDivision_SMF33A,0,TVS 33 V SOD-123FL 36.7 V 1 A,,D,SMF33A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,33 V,36.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF33A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF33ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 33 V SOD-123FL 36.7 V 1 A,,D,SMF33A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,33 V,36.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_36V_generic,0,generic TVS 36 V SOD-123FL 40 V 1 A,,D,SMF36A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,36 V,40 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_36V_LittelfuseInc_SMF36A,0,TVS 36 V SOD-123FL 40 V 1 A,,D,SMF36A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,36 V,40 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF36A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5828CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_36V_EatonElectronicsDivision_SMF36A,0,TVS 36 V SOD-123FL 40 V 1 A,,D,SMF36A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,36 V,40 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF36A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF36ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 36 V SOD-123FL 40 V 1 A,,D,SMF36A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,36 V,40 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_40V_generic,0,generic TVS 40 V SOD-123FL 44.4 V 1 A,,D,SMF40A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,40 V,44.4 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_40V_LittelfuseInc_SMF40A,0,TVS 40 V SOD-123FL 44.4 V 1 A,,D,SMF40A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,40 V,44.4 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF40A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5829CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_40V_EatonElectronicsDivision_SMF40A,0,TVS 40 V SOD-123FL 44.4 V 1 A,,D,SMF40A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,40 V,44.4 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF40A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF40ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 40 V SOD-123FL 44.4 V 1 A,,D,SMF40A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,40 V,44.4 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_43V_generic,0,generic TVS 43 V SOD-123FL 47.8 V 1 A,,D,SMF43A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,43 V,47.8 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_43V_LittelfuseInc_SMF43A,0,TVS 43 V SOD-123FL 47.8 V 1 A,,D,SMF43A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,43 V,47.8 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF43A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5830CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_43V_EatonElectronicsDivision_SMF43A,0,TVS 43 V SOD-123FL 47.8 V 1 A,,D,SMF43A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,43 V,47.8 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF43A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF43ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 43 V SOD-123FL 47.8 V 1 A,,D,SMF43A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,43 V,47.8 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_45V_generic,0,generic TVS 45 V SOD-123FL 50 V 1 A,,D,SMF45A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,45 V,50 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_45V_LittelfuseInc_SMF45A,0,TVS 45 V SOD-123FL 50 V 1 A,,D,SMF45A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,45 V,50 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF45A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5831CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_45V_EatonElectronicsDivision_SMF45A,0,TVS 45 V SOD-123FL 50 V 1 A,,D,SMF45A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,45 V,50 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF45A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF45ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 45 V SOD-123FL 50 V 1 A,,D,SMF45A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,45 V,50 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_48V_generic,0,generic TVS 48 V SOD-123FL 53.3 V 1 A,,D,SMF48A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,48 V,53.3 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_48V_LittelfuseInc_SMF48A,0,TVS 48 V SOD-123FL 53.3 V 1 A,,D,SMF48A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,48 V,53.3 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF48A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5832CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_48V_EatonElectronicsDivision_SMF48A,0,TVS 48 V SOD-123FL 53.3 V 1 A,,D,SMF48A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,48 V,53.3 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF48A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF48ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 48 V SOD-123FL 53.3 V 1 A,,D,SMF48A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,48 V,53.3 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_51V_generic,0,generic TVS 51 V SOD-123FL 56.7 V 1 A,,D,SMF51A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,51 V,56.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
