CATEGORY,TYPE,NAME,REVISION,DESCRIPTION,NOTES,DESIGNATOR [str],VALUE [str],SYMBOL [str],FOOTPRINT [str],PACKAGE [str],HEIGHT [mm],RESISTANCE [Ω],TOLERANCE [%],DRIFT [ppm/K],TCORNER [°C],TMIN [°C],TMAX [°C],VMAX [V],IMAX [A],PMAX [W],SOLDER_TECHNOLOGY [str],IEC61709 [int],OTHERPROPERTIES [str],CREATED [str],VERIFIED [str],KICAD_VISIBILITY [str],MANUFACTURER,MPN,DATASHEET_LINK,DATASHEET_REVISION,SUBSTANCES,SUPPLIER1_NAME,SUPPLIER1_SKP,SUPPLIER1_STATUS,
Passive Component / Resistor / Metal thickfilm,generic,R_2512_820k0_F_100ppmK_generic,0,generic Resistor 2512 (6432 Metric) 820 kΩ 1 % 100 ppm/K,,R,820 kΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,820 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,"PACKAGE, TOLERANCE",,,,,,,,,"R_2512_820k0_F_100ppmK_Yageo_RC2512FK-07820KL, R_2512_820k0_F_100ppmK_VishayDale_CRCW2512820KFKEG, R_2512_820k0_F_100ppmK_StackpoleElectronicsInc_RMCF2512FT820K"
Passive Component / Resistor / Metal thickfilm,specific,R_2512_820k0_F_100ppmK_Yageo_RC2512FK-07820KL,0,Resistor 2512 (6432 Metric) 820 kΩ 1 % 100 ppm/K,,R,820 kΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,820 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,,Yageo,RC2512FK-07820KL,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,Version 12 - 2022-08-02,RoHS3 2015/863,DIGIKEY,RC2512FK-07820KL-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_2512_820k0_F_100ppmK_VishayDale_CRCW2512820KFKEG,0,Resistor 2512 (6432 Metric) 820 kΩ 1 % 100 ppm/K,,R,820 kΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,820 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,,Vishay Dale,CRCW2512820KFKEG,https://www.vishay.com/docs/20035/dcrcwe3.pdf,2025-06-02,RoHS3 2015/863,DIGIKEY,CRCW2512820KFKEG-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_2512_820k0_F_100ppmK_StackpoleElectronicsInc_RMCF2512FT820K,0,Resistor 2512 (6432 Metric) 820 kΩ 1 % 100 ppm/K,,R,820 kΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,820 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,,Stackpole Electronics Inc.,RMCF2512FT820K,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,2025-05-01,RoHS3 2015/863,DIGIKEY,RMCF2512FT820K-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,generic,R_2512_910k0_F_100ppmK_generic,0,generic Resistor 2512 (6432 Metric) 910 kΩ 1 % 100 ppm/K,,R,910 kΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,910 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,"PACKAGE, TOLERANCE",,,,,,,,,"R_2512_910k0_F_100ppmK_Yageo_RC2512FK-07910KL, R_2512_910k0_F_100ppmK_VishayDale_CRCW2512910KFKEG, R_2512_910k0_F_100ppmK_StackpoleElectronicsInc_RMCF2512FT910K"
Passive Component / Resistor / Metal thickfilm,specific,R_2512_910k0_F_100ppmK_Yageo_RC2512FK-07910KL,0,Resistor 2512 (6432 Metric) 910 kΩ 1 % 100 ppm/K,,R,910 kΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,910 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,,Yageo,RC2512FK-07910KL,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,Version 12 - 2022-08-02,RoHS3 2015/863,DIGIKEY,RC2512FK-07910KL-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_2512_910k0_F_100ppmK_VishayDale_CRCW2512910KFKEG,0,Resistor 2512 (6432 Metric) 910 kΩ 1 % 100 ppm/K,,R,910 kΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,910 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,,Vishay Dale,CRCW2512910KFKEG,https://www.vishay.com/docs/20035/dcrcwe3.pdf,2025-06-02,RoHS3 2015/863,DIGIKEY,CRCW2512910KFKEG-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_2512_910k0_F_100ppmK_StackpoleElectronicsInc_RMCF2512FT910K,0,Resistor 2512 (6432 Metric) 910 kΩ 1 % 100 ppm/K,,R,910 kΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,910 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,,Stackpole Electronics Inc.,RMCF2512FT910K,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,2025-05-01,RoHS3 2015/863,DIGIKEY,RMCF2512FT910K-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,generic,R_2512_1M0_F_100ppmK_generic,0,generic Resistor 2512 (6432 Metric) 1 MΩ 1 % 100 ppm/K,,R,1 MΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,1 MΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,"PACKAGE, TOLERANCE",,,,,,,,,"R_2512_1M0_F_100ppmK_Yageo_RC2512FK-071ML, R_2512_1M0_F_100ppmK_VishayDale_CRCW25121M00FKEG, R_2512_1M0_F_100ppmK_StackpoleElectronicsInc_RMCF2512FT1M00"
Passive Component / Resistor / Metal thickfilm,specific,R_2512_1M0_F_100ppmK_Yageo_RC2512FK-071ML,0,Resistor 2512 (6432 Metric) 1 MΩ 1 % 100 ppm/K,,R,1 MΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,1 MΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,,Yageo,RC2512FK-071ML,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,Version 12 - 2022-08-02,RoHS3 2015/863,DIGIKEY,13-RC2512FK-071MLCT-ND,ACTIVE,
