CATEGORY,TYPE,NAME,REVISION,DESCRIPTION,NOTES,DESIGNATOR [str],VALUE [str],SYMBOL [str],FOOTPRINT [str],PACKAGE [str],HEIGHT [mm],IRATED [A],VBREAKACMAX [VAC],VBREAKDCMAX [VDC],IBREAKAC [AAC],IBREAKDC [ADC],I2T [A2S],BLOWCHARACTERISTIC [str],RCOLD [Ω],TMIN [°C],TMAX [°C],SOLDER_TECHNOLOGY [str],IEC61709 [int],OTHERPROPERTIES [str],CREATED [str],VERIFIED [str],KICAD_VISIBILITY [str],MANUFACTURER,MPN,DATASHEET_LINK,DATASHEET_REVISION,SUBSTANCES,SUPPLIER1_NAME,SUPPLIER1_SKP,SUPPLIER1_STATUS,RELATEDPARTS
Passive Component / Fuse,specific,F_0603_250mA_32V_FAST_AEMComponents_T0603FF0250TM,0,Fuse 250 mA 0603 32 V FAST,,F,250 mA,Device:Fuse,Fuse:Fuse_0603_1608Metric,0603,0.432 mm,250 mA,,32 V,,50A@32VDC,0.0014,FAST,0.565,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,AEM Components,T0603FF0250TM,https://aemcomponents.media.zestyio.com/AEM-T0603FF.pdf,,,DIGIKEY,5673-T0603FF0250TMCT-ND,ACTIVE,
Passive Component / Fuse,specific,F_0603_250mA_32V_FAST_BelFuseInc_C2Q250,0,Fuse 250 mA 0603 32 V FAST,,F,250 mA,Device:Fuse,Fuse:Fuse_0603_1608Metric,0603,0.432 mm,250 mA,,32 V,,50A@32VDC,0.0014,FAST,0.565,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Bel Fuse Inc.,C2Q 250,https://www.belfuse.com/media/datasheets/products/circuit-protection/ds-cp-c2q-series.pdf,,,DIGIKEY,5923-C2Q250CT-ND,ACTIVE,
Passive Component / Fuse,generic,F_0603_1A_32V_FAST_generic,0,generic Fuse 1 A 0603 32 V FAST,,F,1 A,Device:Fuse,Fuse:Fuse_0603_1608Metric,0603,0.432 mm,1 A,,32 V,,50A@32VDC,0.0212,FAST,0.07,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,"VBREAKDCMAX, PACKAGE, BLOWCHARACTERISTIC",,,,,,,,,"F_0603_1A_32V_FAST_LittelfuseInc_0467001NRHF, F_0603_1A_32V_FAST_AEMComponents_T0603FF1000TM, F_0603_1A_32V_FAST_BelFuseInc_C2Q1"
Passive Component / Fuse,specific,F_0603_1A_32V_FAST_LittelfuseInc_0467001NRHF,0,Fuse 1 A 0603 32 V FAST,,F,1 A,Device:Fuse,Fuse:Fuse_0603_1608Metric,0603,0.432 mm,1 A,,32 V,,50A@32VDC,0.0212,FAST,0.07,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Littelfuse Inc.,0467001.NRHF,https://www.littelfuse.com/assetdocs/littelfuse_fuse_467_datasheet.pdf?assetguid=4a59f034-1cca-460e-a5ba-e1e66247c76d,,,DIGIKEY,F5699CT-ND,ACTIVE,
Passive Component / Fuse,specific,F_0603_1A_32V_FAST_AEMComponents_T0603FF1000TM,0,Fuse 1 A 0603 32 V FAST,,F,1 A,Device:Fuse,Fuse:Fuse_0603_1608Metric,0603,0.432 mm,1 A,,32 V,,50A@32VDC,0.0212,FAST,0.07,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,AEM Components,T0603FF1000TM,https://aemcomponents.media.zestyio.com/AEM-T0603FF.pdf,,,DIGIKEY,5673-T0603FF1000TMCT-ND,ACTIVE,
Passive Component / Fuse,specific,F_0603_1A_32V_FAST_BelFuseInc_C2Q1,0,Fuse 1 A 0603 32 V FAST,,F,1 A,Device:Fuse,Fuse:Fuse_0603_1608Metric,0603,0.432 mm,1 A,,32 V,,50A@32VDC,0.0212,FAST,0.07,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Bel Fuse Inc.,C2Q 1,https://www.belfuse.com/media/datasheets/products/circuit-protection/ds-cp-c2q-series.pdf,,,DIGIKEY,5923-C2Q1CT-ND,ACTIVE,
Passive Component / Fuse,generic,F_1206_250mA_125V_FAST_generic,0,generic Fuse 250 mA 1206 125 V FAST,,F,250 mA,Device:Fuse,Fuse:Fuse_1206_3216Metric,1206,0.56 mm,250 mA,,125 V,,50A@125VDC,0.0022,FAST,0.691,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,"VBREAKDCMAX, PACKAGE, BLOWCHARACTERISTIC",,,,,,,,,"F_1206_250mA_125V_FAST_LittelfuseInc_0466250NRHF, F_1206_250mA_125V_FAST_BelFuseInc_C1F250"
Passive Component / Fuse,specific,F_1206_250mA_125V_FAST_LittelfuseInc_0466250NRHF,0,Fuse 250 mA 1206 125 V FAST,,F,250 mA,Device:Fuse,Fuse:Fuse_1206_3216Metric,1206,0.56 mm,250 mA,,125 V,,50A@125VDC,0.0022,FAST,0.691,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Littelfuse Inc.,0466.250NRHF,https://www.littelfuse.com/assetdocs/fuse-466-datasheet?assetguid=dbe9bcd7-6072-4adf-bf5b-d33e52a6b90f,,,DIGIKEY,F5692CT-ND,ACTIVE,
Passive Component / Fuse,specific,,0,Fuse 250 mA 1206 125 V FAST,,F,250 mA,Device:Fuse,Fuse:Fuse_1206_3216Metric,1206,0.56 mm,250 mA,,125 V,,50A@125VDC,0.0022,FAST,0.691,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,,,,,,,,,
Passive Component / Fuse,specific,F_1206_250mA_125V_FAST_BelFuseInc_C1F250,0,Fuse 250 mA 1206 125 V FAST,,F,250 mA,Device:Fuse,Fuse:Fuse_1206_3216Metric,1206,0.56 mm,250 mA,,125 V,,50A@125VDC,0.0022,FAST,0.691,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Bel Fuse Inc.,C1F 250,https://www.belfuse.com/media/datasheets/products/circuit-protection/ds-cp-c1f-series.pdf,,,DIGIKEY,5923-C1F250CT-ND,ACTIVE,
Passive Component / Fuse,generic,F_1206_5A_32V_FAST_generic,0,generic Fuse 5 A 1206 32 V FAST,,F,5 A,Device:Fuse,Fuse:Fuse_1206_3216Metric,1206,0.56 mm,5 A,,32 V,,50A@32VDC,1.6,FAST,0.011,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,"VBREAKDCMAX, PACKAGE, BLOWCHARACTERISTIC",,,,,,,,,"F_1206_5A_32V_FAST_LittelfuseInc_0466005NRHF, F_1206_5A_32V_FAST_AEMComponents_F1206FA5000V032TM, F_1206_5A_32V_FAST_BelFuseInc_C1F5"
Passive Component / Fuse,specific,F_1206_5A_32V_FAST_LittelfuseInc_0466005NRHF,0,Fuse 5 A 1206 32 V FAST,,F,5 A,Device:Fuse,Fuse:Fuse_1206_3216Metric,1206,0.56 mm,5 A,,32 V,,50A@32VDC,1.6,FAST,0.011,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Littelfuse Inc.,0466005.NRHF,https://www.littelfuse.com/assetdocs/fuse-466-datasheet?assetguid=dbe9bcd7-6072-4adf-bf5b-d33e52a6b90f,,,DIGIKEY,F6019CT-ND,ACTIVE,
Passive Component / Fuse,specific,F_1206_5A_32V_FAST_AEMComponents_F1206FA5000V032TM,0,Fuse 5 A 1206 32 V FAST,,F,5 A,Device:Fuse,Fuse:Fuse_1206_3216Metric,1206,0.56 mm,5 A,,32 V,,50A@32VDC,1.6,FAST,0.011,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,AEM Components,F1206FA5000V032TM,https://aemcomponents.media.zestyio.com/AEM-F1206FA.pdf,,,DIGIKEY,5673-F1206FA5000V032TMCT-ND,ACTIVE,
Passive Component / Fuse,specific,F_1206_5A_32V_FAST_BelFuseInc_C1F5,0,Fuse 5 A 1206 32 V FAST,,F,5 A,Device:Fuse,Fuse:Fuse_1206_3216Metric,1206,0.56 mm,5 A,,32 V,,50A@32VDC,1.6,FAST,0.011,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Bel Fuse Inc.,C1F 5,https://www.belfuse.com/media/datasheets/products/circuit-protection/ds-cp-c1f-series.pdf,,,DIGIKEY,5923-C1F5CT-ND,ACTIVE,
